post_id,suspect_id,platform,post_text,timestamp,ai_sentiment_flag,likes,shares
POST00072,SUS0140,Facebook,"Payment cleared, thanks bhai",2026-01-23 20:00:00,Coded/Ambiguous,426,23
POST00073,SUS0145,Facebook,Happy Diwali to all my brothers,2026-05-09 15:00:00,Suspicious,95,62
POST00074,SUS0013,WhatsApp Status,Package delivered successfully,2026-07-19 08:00:00,Neutral,49,0
POST00075,SUS0103,Twitter/X,"New phone number, save it",2026-01-11 23:00:00,Suspicious,377,62
POST00076,SUS0012,Twitter/X,Package delivered successfully,2026-01-10 11:00:00,Neutral,270,34
POST00077,SUS0090,Telegram,"Payment cleared, thanks bhai",2026-04-28 20:00:00,Suspicious,185,79
POST00078,SUS0006,Facebook,"Match today, who's watching",2026-03-27 04:00:00,Neutral,179,78
POST00079,SUS0110,WhatsApp Status,"Payment cleared, thanks bhai",2026-01-25 03:00:00,Neutral,420,24
POST00080,SUS0012,Instagram,"Match today, who's watching",2026-03-21 00:00:00,Suspicious,63,28
POST00081,SUS0011,Facebook,"Big deal coming this weekend, stay ready",2026-04-20 02:00:00,Suspicious,459,17
POST00082,SUS0028,Instagram,"Lay low for few days, situation hot",2026-04-13 17:00:00,Suspicious,411,25
POST00083,SUS0118,Facebook,"Match today, who's watching",2026-01-29 09:00:00,Neutral,22,36
POST00084,SUS0063,Facebook,Package delivered successfully,2026-01-22 19:00:00,Suspicious,409,11
POST00085,SUS0046,Twitter/X,Happy Diwali to all my brothers,2026-04-16 13:00:00,Neutral,89,28
POST00086,SUS0052,Instagram,Happy Diwali to all my brothers,2026-04-13 02:00:00,Coded/Ambiguous,261,2
POST00087,SUS0108,Instagram,"Payment cleared, thanks bhai",2026-07-15 04:00:00,Suspicious,173,19
POST00088,SUS0108,Telegram,"Big deal coming this weekend, stay ready",2026-04-27 04:00:00,Suspicious,322,60
POST00089,SUS0015,Twitter/X,"Police checking naka near highway, be careful",2026-02-06 14:00:00,Neutral,455,45
POST00090,SUS0112,Twitter/X,"Big deal coming this weekend, stay ready",2026-05-21 15:00:00,Suspicious,163,59
POST00091,SUS0020,WhatsApp Status,Package delivered successfully,2026-07-17 02:00:00,Neutral,46,49
POST00092,SUS0117,Facebook,"Lay low for few days, situation hot",2026-08-11 22:00:00,Neutral,497,30
POST00093,SUS0094,Facebook,"Lay low for few days, situation hot",2026-07-24 06:00:00,Coded/Ambiguous,8,80
POST00094,SUS0095,Instagram,"Payment cleared, thanks bhai",2026-03-11 16:00:00,Threatening,495,10
POST00095,SUS0108,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-03-26 15:00:00,Coded/Ambiguous,151,24
POST00096,SUS0038,Facebook,"New phone number, save it",2026-08-09 03:00:00,Neutral,138,22
POST00097,SUS0102,Instagram,Happy Diwali to all my brothers,2026-06-24 08:00:00,Threatening,321,42
POST00098,SUS0029,Instagram,Package delivered successfully,2026-05-27 00:00:00,Threatening,35,8
POST00099,SUS0083,Instagram,"New phone number, save it",2026-07-01 09:00:00,Suspicious,50,6
POST00100,SUS0057,Facebook,Happy Diwali to all my brothers,2026-02-18 09:00:00,Threatening,114,53
POST00101,SUS0052,Instagram,"Big deal coming this weekend, stay ready",2026-07-15 07:00:00,Neutral,358,38
POST00102,SUS0050,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-04-30 22:00:00,Neutral,460,36
POST00103,SUS0031,Telegram,New shipment arriving from border,2026-04-14 08:00:00,Suspicious,16,18
POST00104,SUS0025,Instagram,"Big deal coming this weekend, stay ready",2026-07-21 14:00:00,Coded/Ambiguous,225,7
POST00105,SUS0029,WhatsApp Status,"Police checking naka near highway, be careful",2026-07-29 05:00:00,Threatening,86,70
POST00106,SUS0058,Twitter/X,"Lay low for few days, situation hot",2026-08-09 06:00:00,Threatening,229,69
POST00107,SUS0096,WhatsApp Status,"Meet at the usual spot, 9pm sharp",2026-04-08 16:00:00,Suspicious,227,47
POST00108,SUS0010,Facebook,"Meet at the usual spot, 9pm sharp",2026-04-01 19:00:00,Suspicious,495,72
POST00109,SUS0062,Instagram,"Meet at the usual spot, 9pm sharp",2026-01-08 22:00:00,Coded/Ambiguous,369,46
POST00110,SUS0022,Facebook,"Lay low for few days, situation hot",2026-07-18 12:00:00,Threatening,126,9
POST00111,SUS0125,Telegram,Happy Diwali to all my brothers,2026-05-31 06:00:00,Neutral,14,66
POST00112,SUS0066,Instagram,"Big deal coming this weekend, stay ready",2026-07-05 09:00:00,Neutral,475,45
POST00113,SUS0039,Instagram,"Lay low for few days, situation hot",2026-07-09 10:00:00,Neutral,239,2
POST00114,SUS0128,Instagram,"Police checking naka near highway, be careful",2026-08-07 12:00:00,Neutral,200,23
POST00115,SUS0004,Facebook,"Police checking naka near highway, be careful",2026-05-01 17:00:00,Suspicious,230,14
POST00116,SUS0149,Facebook,Happy Diwali to all my brothers,2026-06-19 05:00:00,Neutral,500,80
POST00117,SUS0099,Telegram,"Meet at the usual spot, 9pm sharp",2026-07-21 23:00:00,Neutral,262,2
POST00118,SUS0031,Twitter/X,New shipment arriving from border,2026-01-07 19:00:00,Suspicious,300,8
POST00119,SUS0072,Twitter/X,"Big deal coming this weekend, stay ready",2026-08-05 18:00:00,Coded/Ambiguous,334,59
POST00120,SUS0013,Telegram,Package delivered successfully,2026-01-13 06:00:00,Suspicious,341,21
POST00121,SUS0136,Telegram,"New phone number, save it",2026-01-07 11:00:00,Suspicious,435,63
POST00122,SUS0013,Telegram,"Lay low for few days, situation hot",2026-01-22 08:00:00,Suspicious,259,16
POST00123,SUS0026,WhatsApp Status,"Police checking naka near highway, be careful",2026-01-27 18:00:00,Suspicious,465,51
POST00124,SUS0079,Instagram,"Match today, who's watching",2026-04-22 00:00:00,Suspicious,492,76
POST00125,SUS0093,WhatsApp Status,"Lay low for few days, situation hot",2026-04-10 22:00:00,Suspicious,418,21
POST00126,SUS0039,Instagram,"Meet at the usual spot, 9pm sharp",2026-01-10 11:00:00,Coded/Ambiguous,205,30
POST00127,SUS0146,WhatsApp Status,"Match today, who's watching",2026-08-28 23:00:00,Threatening,400,78
POST00128,SUS0045,Twitter/X,"Big deal coming this weekend, stay ready",2026-04-01 01:00:00,Suspicious,217,59
POST00129,SUS0069,Telegram,"New phone number, save it",2026-08-14 23:00:00,Suspicious,96,46
POST00130,SUS0139,Telegram,Package delivered successfully,2026-01-31 17:00:00,Threatening,372,63
POST00131,SUS0068,WhatsApp Status,"Payment cleared, thanks bhai",2026-05-11 14:00:00,Suspicious,122,47
POST00132,SUS0086,Facebook,"Payment cleared, thanks bhai",2026-06-17 17:00:00,Neutral,190,49
POST00133,SUS0149,Facebook,"Meet at the usual spot, 9pm sharp",2026-06-01 15:00:00,Neutral,395,4
POST00134,SUS0021,Instagram,"Big deal coming this weekend, stay ready",2026-06-06 06:00:00,Suspicious,218,73
POST00135,SUS0032,Twitter/X,"Match today, who's watching",2026-02-08 12:00:00,Neutral,291,53
POST00136,SUS0150,Twitter/X,New shipment arriving from border,2026-05-28 06:00:00,Neutral,108,80
POST00137,SUS0020,Twitter/X,"Match today, who's watching",2026-03-04 17:00:00,Suspicious,164,50
POST00138,SUS0136,Facebook,"Match today, who's watching",2026-02-03 16:00:00,Neutral,168,42
POST00139,SUS0046,WhatsApp Status,Package delivered successfully,2026-04-19 22:00:00,Neutral,345,35
POST00140,SUS0141,Twitter/X,"Match today, who's watching",2026-05-06 08:00:00,Suspicious,95,71
POST00141,SUS0041,Instagram,"Lay low for few days, situation hot",2026-04-14 18:00:00,Neutral,62,57
POST00142,SUS0060,Facebook,Package delivered successfully,2026-05-27 05:00:00,Neutral,42,56
POST00143,SUS0118,Twitter/X,"Police checking naka near highway, be careful",2026-05-11 13:00:00,Coded/Ambiguous,406,31
POST00144,SUS0146,Twitter/X,"Match today, who's watching",2026-06-16 08:00:00,Neutral,161,41
POST00145,SUS0124,WhatsApp Status,"Match today, who's watching",2026-06-27 21:00:00,Threatening,40,58
POST00146,SUS0077,Facebook,Package delivered successfully,2026-02-22 02:00:00,Suspicious,154,40
POST00147,SUS0053,Twitter/X,"New phone number, save it",2026-03-31 07:00:00,Coded/Ambiguous,35,42
POST00148,SUS0127,Telegram,"Lay low for few days, situation hot",2026-04-01 01:00:00,Neutral,80,6
POST00149,SUS0070,Instagram,New shipment arriving from border,2026-05-12 01:00:00,Neutral,230,45
POST00150,SUS0107,WhatsApp Status,"Payment cleared, thanks bhai",2026-02-17 19:00:00,Neutral,51,52
POST00151,SUS0138,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-04-07 14:00:00,Coded/Ambiguous,161,41
POST00152,SUS0005,WhatsApp Status,"Payment cleared, thanks bhai",2026-04-13 18:00:00,Neutral,329,34
POST00153,SUS0069,Twitter/X,"Big deal coming this weekend, stay ready",2026-07-25 03:00:00,Threatening,8,38
POST00154,SUS0038,WhatsApp Status,"Lay low for few days, situation hot",2026-08-08 15:00:00,Suspicious,98,44
POST00155,SUS0072,Twitter/X,Package delivered successfully,2026-08-04 18:00:00,Neutral,54,67
POST00156,SUS0019,WhatsApp Status,"Lay low for few days, situation hot",2026-05-10 17:00:00,Suspicious,328,14
POST00157,SUS0055,Telegram,"Lay low for few days, situation hot",2026-02-09 20:00:00,Neutral,497,41
POST00158,SUS0054,Twitter/X,"New phone number, save it",2026-05-16 09:00:00,Coded/Ambiguous,51,11
POST00159,SUS0084,Instagram,"Big deal coming this weekend, stay ready",2026-07-03 15:00:00,Coded/Ambiguous,234,47
POST00160,SUS0102,Telegram,"Meet at the usual spot, 9pm sharp",2026-01-14 20:00:00,Coded/Ambiguous,146,20
POST00161,SUS0099,Instagram,"Police checking naka near highway, be careful",2026-02-17 09:00:00,Coded/Ambiguous,213,20
POST00162,SUS0001,Instagram,"Meet at the usual spot, 9pm sharp",2026-08-22 05:00:00,Coded/Ambiguous,363,32
POST00163,SUS0100,Facebook,Package delivered successfully,2026-06-09 22:00:00,Neutral,291,36
POST00164,SUS0002,Instagram,"Match today, who's watching",2026-05-06 02:00:00,Neutral,117,35
POST00165,SUS0099,Instagram,"Lay low for few days, situation hot",2026-04-09 01:00:00,Coded/Ambiguous,241,6
POST00166,SUS0013,WhatsApp Status,New shipment arriving from border,2026-04-17 01:00:00,Coded/Ambiguous,436,9
POST00167,SUS0014,Facebook,"Police checking naka near highway, be careful",2026-04-24 18:00:00,Neutral,172,17
POST00168,SUS0020,Twitter/X,"Meet at the usual spot, 9pm sharp",2026-03-08 20:00:00,Threatening,467,21
POST00169,SUS0043,Telegram,"Meet at the usual spot, 9pm sharp",2026-03-16 20:00:00,Suspicious,34,49
POST00170,SUS0132,Twitter/X,"Police checking naka near highway, be careful",2026-01-11 19:00:00,Suspicious,270,42
POST00171,SUS0070,Telegram,New shipment arriving from border,2026-02-01 06:00:00,Suspicious,200,46
POST00172,SUS0004,WhatsApp Status,"Police checking naka near highway, be careful",2026-02-05 16:00:00,Coded/Ambiguous,409,8
POST00173,SUS0085,Telegram,"Police checking naka near highway, be careful",2026-08-20 13:00:00,Suspicious,331,78
POST00174,SUS0026,WhatsApp Status,"Match today, who's watching",2026-06-20 11:00:00,Suspicious,30,42
POST00175,SUS0046,Twitter/X,"Lay low for few days, situation hot",2026-07-08 09:00:00,Neutral,416,74
POST00176,SUS0030,Facebook,"Meet at the usual spot, 9pm sharp",2026-06-14 21:00:00,Suspicious,292,74
POST00177,SUS0070,Twitter/X,"Payment cleared, thanks bhai",2026-05-09 03:00:00,Neutral,384,10
POST00178,SUS0056,Telegram,"Police checking naka near highway, be careful",2026-07-28 16:00:00,Suspicious,461,73
POST00179,SUS0149,Facebook,"Meet at the usual spot, 9pm sharp",2026-02-18 18:00:00,Neutral,211,41
POST00180,SUS0040,Twitter/X,Package delivered successfully,2026-01-02 03:00:00,Coded/Ambiguous,55,57
POST00181,SUS0078,WhatsApp Status,Package delivered successfully,2026-08-16 01:00:00,Neutral,331,38
POST00182,SUS0079,WhatsApp Status,"New phone number, save it",2026-04-22 19:00:00,Suspicious,200,51
POST00183,SUS0094,WhatsApp Status,"New phone number, save it",2026-06-09 09:00:00,Neutral,75,59
POST00184,SUS0048,Telegram,"Meet at the usual spot, 9pm sharp",2026-08-29 19:00:00,Neutral,234,41
POST00185,SUS0027,WhatsApp Status,"Payment cleared, thanks bhai",2026-08-22 13:00:00,Coded/Ambiguous,63,40
POST00186,SUS0049,Twitter/X,"Meet at the usual spot, 9pm sharp",2026-07-23 04:00:00,Suspicious,456,12
POST00187,SUS0026,Facebook,"New phone number, save it",2026-02-18 01:00:00,Neutral,111,13
POST00188,SUS0092,Facebook,Package delivered successfully,2026-04-14 17:00:00,Coded/Ambiguous,148,23
POST00189,SUS0140,Facebook,"Big deal coming this weekend, stay ready",2026-03-06 22:00:00,Threatening,451,32
POST00190,SUS0102,Facebook,"Match today, who's watching",2026-02-14 12:00:00,Coded/Ambiguous,399,20
POST00191,SUS0003,Instagram,New shipment arriving from border,2026-02-05 10:00:00,Coded/Ambiguous,81,30
POST00192,SUS0138,Telegram,"Big deal coming this weekend, stay ready",2026-04-19 14:00:00,Coded/Ambiguous,197,3
POST00193,SUS0080,Facebook,"Lay low for few days, situation hot",2026-07-17 04:00:00,Coded/Ambiguous,333,75
POST00194,SUS0138,Telegram,Happy Diwali to all my brothers,2026-05-07 20:00:00,Threatening,154,6
POST00195,SUS0139,Twitter/X,"Match today, who's watching",2026-06-29 15:00:00,Coded/Ambiguous,20,57
POST00196,SUS0087,Facebook,"Big deal coming this weekend, stay ready",2026-02-15 09:00:00,Neutral,357,4
POST00197,SUS0095,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-08-07 02:00:00,Suspicious,365,63
POST00198,SUS0038,Facebook,Package delivered successfully,2026-03-14 14:00:00,Neutral,221,44
POST00199,SUS0075,WhatsApp Status,Happy Diwali to all my brothers,2026-08-15 02:00:00,Threatening,303,26
POST00200,SUS0046,Instagram,New shipment arriving from border,2026-05-05 13:00:00,Suspicious,358,23
POST00201,SUS0057,Facebook,"Meet at the usual spot, 9pm sharp",2026-05-23 21:00:00,Coded/Ambiguous,407,65
POST00202,SUS0148,Facebook,New shipment arriving from border,2026-02-18 12:00:00,Coded/Ambiguous,397,58
POST00203,SUS0141,Twitter/X,"New phone number, save it",2026-06-16 13:00:00,Neutral,140,23
POST00204,SUS0060,WhatsApp Status,New shipment arriving from border,2026-04-01 14:00:00,Neutral,308,47
POST00205,SUS0149,WhatsApp Status,"Meet at the usual spot, 9pm sharp",2026-03-02 02:00:00,Threatening,303,23
POST00206,SUS0021,Telegram,"Police checking naka near highway, be careful",2026-06-16 06:00:00,Neutral,368,7
POST00207,SUS0089,Instagram,"Big deal coming this weekend, stay ready",2026-01-02 15:00:00,Suspicious,3,71
POST00208,SUS0142,WhatsApp Status,"Lay low for few days, situation hot",2026-08-24 09:00:00,Neutral,312,78
POST00209,SUS0103,Telegram,"Match today, who's watching",2026-02-20 11:00:00,Neutral,360,53
POST00210,SUS0033,Twitter/X,New shipment arriving from border,2026-07-16 02:00:00,Suspicious,415,41
POST00211,SUS0149,Instagram,"Lay low for few days, situation hot",2026-04-02 02:00:00,Threatening,282,35
POST00212,SUS0092,Instagram,Package delivered successfully,2026-03-13 23:00:00,Neutral,298,42
POST00213,SUS0087,Instagram,New shipment arriving from border,2026-01-26 06:00:00,Threatening,313,8
POST00214,SUS0090,Instagram,"Lay low for few days, situation hot",2026-03-17 03:00:00,Suspicious,56,12
POST00215,SUS0007,Twitter/X,"Match today, who's watching",2026-06-02 13:00:00,Neutral,344,29
POST00216,SUS0110,Twitter/X,"Police checking naka near highway, be careful",2026-02-28 12:00:00,Threatening,482,42
POST00217,SUS0008,Facebook,"Match today, who's watching",2026-03-06 02:00:00,Neutral,72,30
POST00218,SUS0067,Telegram,"Match today, who's watching",2026-02-04 13:00:00,Coded/Ambiguous,444,5
POST00219,SUS0051,WhatsApp Status,Package delivered successfully,2026-08-15 21:00:00,Neutral,57,17
POST00220,SUS0133,WhatsApp Status,"Meet at the usual spot, 9pm sharp",2026-01-21 14:00:00,Coded/Ambiguous,417,79
POST00221,SUS0146,Instagram,"Police checking naka near highway, be careful",2026-07-12 07:00:00,Coded/Ambiguous,345,56
POST00222,SUS0082,Facebook,"Meet at the usual spot, 9pm sharp",2026-08-13 04:00:00,Neutral,225,40
POST00223,SUS0149,Facebook,"Match today, who's watching",2026-04-19 07:00:00,Coded/Ambiguous,36,11
POST00224,SUS0079,Twitter/X,New shipment arriving from border,2026-06-05 06:00:00,Coded/Ambiguous,459,2
POST00225,SUS0137,Twitter/X,Package delivered successfully,2026-05-09 12:00:00,Coded/Ambiguous,418,55
POST00226,SUS0086,Twitter/X,"Payment cleared, thanks bhai",2026-07-20 18:00:00,Suspicious,13,30
POST00227,SUS0137,Telegram,"Big deal coming this weekend, stay ready",2026-01-25 16:00:00,Neutral,152,70
POST00228,SUS0096,Facebook,"Big deal coming this weekend, stay ready",2026-07-03 02:00:00,Coded/Ambiguous,34,64
POST00229,SUS0040,Twitter/X,"Payment cleared, thanks bhai",2026-03-19 02:00:00,Neutral,229,5
POST00230,SUS0035,WhatsApp Status,Happy Diwali to all my brothers,2026-05-13 08:00:00,Neutral,240,68
POST00231,SUS0115,Twitter/X,New shipment arriving from border,2026-06-14 20:00:00,Neutral,144,72
POST00232,SUS0147,Twitter/X,New shipment arriving from border,2026-05-03 00:00:00,Suspicious,143,24
POST00233,SUS0080,Facebook,"Payment cleared, thanks bhai",2026-06-20 15:00:00,Neutral,157,39
POST00234,SUS0034,Twitter/X,Happy Diwali to all my brothers,2026-01-27 01:00:00,Neutral,412,2
POST00235,SUS0076,Instagram,"Big deal coming this weekend, stay ready",2026-08-04 12:00:00,Neutral,56,25
POST00236,SUS0032,Telegram,"Police checking naka near highway, be careful",2026-03-02 10:00:00,Neutral,292,38
POST00237,SUS0035,Facebook,"Match today, who's watching",2026-01-13 23:00:00,Threatening,350,16
POST00238,SUS0060,Telegram,Happy Diwali to all my brothers,2026-06-02 11:00:00,Threatening,66,10
POST00239,SUS0126,WhatsApp Status,"New phone number, save it",2026-04-07 02:00:00,Coded/Ambiguous,456,71
POST00240,SUS0150,Telegram,"New phone number, save it",2026-05-22 15:00:00,Coded/Ambiguous,251,54
POST00241,SUS0122,Facebook,"Police checking naka near highway, be careful",2026-07-08 14:00:00,Coded/Ambiguous,256,61
POST00242,SUS0119,WhatsApp Status,Package delivered successfully,2026-06-18 02:00:00,Threatening,274,10
POST00243,SUS0137,Facebook,"Lay low for few days, situation hot",2026-05-27 07:00:00,Suspicious,21,35
POST00244,SUS0130,Twitter/X,"Big deal coming this weekend, stay ready",2026-05-02 07:00:00,Neutral,300,32
POST00245,SUS0082,WhatsApp Status,"New phone number, save it",2026-03-29 23:00:00,Suspicious,413,10
POST00246,SUS0117,WhatsApp Status,New shipment arriving from border,2026-08-01 23:00:00,Neutral,284,3
POST00247,SUS0128,Twitter/X,Happy Diwali to all my brothers,2026-05-29 21:00:00,Threatening,126,80
POST00248,SUS0028,WhatsApp Status,"Police checking naka near highway, be careful",2026-03-31 15:00:00,Suspicious,98,72
POST00249,SUS0028,Telegram,"Police checking naka near highway, be careful",2026-07-16 17:00:00,Neutral,368,17
POST00250,SUS0009,Facebook,"Payment cleared, thanks bhai",2026-04-03 08:00:00,Suspicious,298,23
POST00251,SUS0115,Twitter/X,"Lay low for few days, situation hot",2026-01-21 21:00:00,Neutral,482,52
POST00252,SUS0059,Twitter/X,Happy Diwali to all my brothers,2026-05-13 10:00:00,Coded/Ambiguous,71,6
POST00253,SUS0120,WhatsApp Status,"Police checking naka near highway, be careful",2026-06-12 02:00:00,Neutral,336,35
POST00254,SUS0048,Instagram,"Police checking naka near highway, be careful",2026-01-15 21:00:00,Neutral,368,43
POST00255,SUS0057,Twitter/X,"Payment cleared, thanks bhai",2026-06-22 10:00:00,Neutral,230,66
POST00256,SUS0106,WhatsApp Status,"New phone number, save it",2026-04-27 14:00:00,Coded/Ambiguous,497,75
POST00257,SUS0043,Twitter/X,Package delivered successfully,2026-06-14 22:00:00,Coded/Ambiguous,390,4
